DrugBank ID,Common name,Synonyms,cmpdname,canonicalsmiles,cid
DB01229,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine | ABI-007 COMPONENT PACLITAXEL | BENZENEPROPANOIC ACID, .BETA.-(BENZOYLAMINO)-.ALPHA.-HYDROXY-, (2AR,4S,4AS,6R,9S,11S,12S,12AR,12BS)-6,12B-BIS(ACETYLOXY)-12-(BENZOYLOXY)-2A,3,4,4A,5,6,9,10,11,12,12A,12B-DODECAHYDRO-4,11-DIHYDROXY-4A,8,13,13-TETRAMETHYL-5-OXO-7,11-METHANO-1H-CYCLODECA(3, | liposomal encapsulated paclitaxel | NAB-PACLITAXEL COMPONENT PACLITAXEL | Nanoparticulate paclitaxel | Paclitaxel | paclitaxel protein-bound particles | Paclitaxel protein-bound particles for injection suspension | Taxol A",Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,36314.0
DB00205,Pyrimethamine,"2,4-Diamino-5-(4-chlorophenyl)-6-ethylpyrimidine | 2,4-Diamino-5-(P-chlorophenyl)-6-ethylpyrimidine | 2,4-Diamino-5-chlorophenyl-6-ethylpyrimidine | 5-(4-Chlorophenyl)-6-ethyl-2,4-diaminopyrimidine | 5-(4-Chlorophenyl)-6-ethyl-2,4-pyrimidinediamine | 5-(4'-Chlorophenyl)-2,4-diamino-6-ethylpyrimidine | CD | Chloridine | Chloridyn | Diaminopyritamin | Ethylpyrimidine | Pirimetamina | Primethamine | Pyrimethamine | Pyriméthamine | Pyrimethaminum",Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,4993.0
DB00563,Methotrexate,"4-amino-10-methylfolic acid | 4-amino-N(10)-methylpteroylglutamic acid | Amethopterin | Methotrexat | Méthotrexate | Methotrexate | Methotrexatum | Metotrexato | MTX | N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid",Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,126941.0
DB00544,Fluorouracil,"5-Fluoracil | 5-Fluoropyrimidine-2,4-dione | 5-Fluorouracil | 5-Fluracil | 5-FU | Fluoro Uracil | Fluorouracil | Fluorouracilo | Fluorouracilum | Fluouracil",Fluorouracil,C1=C(C(=O)NC(=O)N1)F,3385.0
DB00675,Tamoxifen,"(Z)-2-(4-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylethanamine | (Z)-2-(para-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylamine | 1-p-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene | 1-para-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene | Tamoxifen | Tamoxifène | Tamoxifene | Tamoxifeno | Tamoxifenum | trans-Tamoxifen",Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,2733526.0
DB00398,Sorafenib,4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide | N-(4-Chloro-3-(trifluoromethyl)phenyl)-N'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea | Sorafénib | Sorafenib | Sorafenibum,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,216239.0
DB01248,Docetaxel,Docetaxel | Docetaxel anhydrous | N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel | N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol | TXL,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,148124.0
DB00441,Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine | 2',2'-Difluorodeoxycytidine | 4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one | Gemcitabin | Gemcitabina | Gemcitabine | Gemcitabinum",Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750.0
DB00762,Irinotecan,"(+)-Irinotecan | (S)-4,11-diethyl-4-hydroxy-3,14-dioxo-3,4,12,14-tetrahydro-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl 4-(2-(5-(3-(2,4-dihydroxy-5-isopropylphenyl)-5-hydroxy-4H-1,2,4-triazol-4-yl)-1H-indol-1-yl)ethyl)piperidine-1-carboxylate | Irinotecan | Irinotecan lactone | Irinotecan liposome injection | Irinotecanum",Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,60838.0
DB00773,Etoposide,"(−)-etoposide | 4-demethylepipodophyllotoxin β-D-ethylideneglucoside | 4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside) | 9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one | Etoposide | Etoposido | Etoposidum | trans-Etoposide",Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,36462.0
