depmap_id,cell_line_name
ACH-000001,NIH:OVCAR-3
ACH-000002,HL-60
ACH-000004,HEL
ACH-000006,MONO-MAC-6
ACH-000007,LS513
ACH-000008,A101D
ACH-000009,C2BBe1
ACH-000012,HCC827
ACH-000018,T24
ACH-000019,MCF7
ACH-000020,MHH-CALL-2
ACH-000023,PA-TU-8988T
ACH-000024,OPM-2
ACH-000035,NCI-H1650
ACH-000038,EHEB
ACH-000040,U-118 MG
ACH-000042,Panc 02.03
ACH-000046,ACHN
ACH-000047,GCIY
ACH-000048,TOV-112D
ACH-000050,NCI-H929
ACH-000052,A-673
ACH-000054,HT-1080
ACH-000055,D283 Med
ACH-000056,DOHH-2
ACH-000058,ML-1
ACH-000059,SUP-B15
ACH-000060,Panc 10.05
ACH-000061,HH
ACH-000062,RERF-LC-MS
ACH-000065,OCI-AML5
ACH-000067,Hs 683
ACH-000070,697
ACH-000072,MEG-01
ACH-000073,GRANTA-519
ACH-000074,KU812
ACH-000075,U-87 MG
ACH-000078,MHH-NB-11
ACH-000081,GDM-1
ACH-000082,"G-292, cloneA141B1"
ACH-000087,SK-ES-1
ACH-000090,PC-3
ACH-000091,OV56
ACH-000092,NCI-H2452
ACH-000094,HPAF-II
ACH-000096,G-401
ACH-000098,GAMG
ACH-000099,SIMA
ACH-000102,GMS-10
ACH-000103,Caov-4
ACH-000104,Loucy
ACH-000105,ALL-SIL
ACH-000106,JVM-2
ACH-000107,Capan-2
ACH-000111,HCC1187
ACH-000112,SIG-M5
ACH-000113,OCI-AML2
ACH-000114,SU.86.86
ACH-000115,VCaP
ACH-000116,OAW28
ACH-000117,EFM-192A
ACH-000118,HUP-T3
ACH-000120,CHP-212
ACH-000121,NCI-H2405
ACH-000124,OCI-LY-19
ACH-000129,NCI-H1341
ACH-000132,JHOS-2
ACH-000135,Hs 940.T
ACH-000136,CHP-126
ACH-000137,8-MG-BA
ACH-000138,CFPAC-1
ACH-000139,Panc 03.27
ACH-000142,CAL-29
ACH-000144,RERF-GC-1B
ACH-000146,THP-1
ACH-000147,T-47D
ACH-000148,Hs 578T
ACH-000149,SK-N-SH
ACH-000151,JM1
ACH-000153,NCI-H2052
ACH-000155,SW 1990
ACH-000157,A4/Fuk
ACH-000159,OS-RC-2
ACH-000161,COR-L105
ACH-000162,GA-10
ACH-000168,NOMO-1
ACH-000169,RD
ACH-000171,VMRC-RCZ
ACH-000174,CAL-62
ACH-000176,LOU-NH91
ACH-000178,Hs 766T
ACH-000181,SCC-9
ACH-000183,L-363
ACH-000186,NCI-H2444
ACH-000187,COR-L311
ACH-000188,SCC-25
ACH-000189,RCC10RGB
ACH-000190,HD-MY-Z
ACH-000191,BHT-101
ACH-000196,HCC1599
ACH-000197,TALL-1
ACH-000198,EOL-1
ACH-000200,NMC-G1
ACH-000201,A-204
ACH-000204,LP-1
ACH-000207,Detroit 562
ACH-000210,CADO-ES1
ACH-000211,Daoy
ACH-000212,CAL-120
ACH-000218,PL-21
ACH-000219,A-375
ACH-000221,SNU-398
ACH-000222,AsPC-1
ACH-000223,HCC1937
ACH-000225,ECC12
ACH-000226,SUP-M2
ACH-000227,KP-N-YN
ACH-000228,BICR 31
ACH-000231,KALS-1
ACH-000232,U-251 MG
ACH-000235,Panc 04.03
ACH-000236,SW1417
ACH-000238,SCC-4
ACH-000242,RT4
ACH-000243,DAN-G
ACH-000244,DK-MG
ACH-000245,BL-41
ACH-000247,OCUM-1
ACH-000248,AU565
ACH-000249,CL-11
ACH-000250,KMRC-20
ACH-000254,SCC-15
ACH-000257,COR-L279
ACH-000258,DU4475
ACH-000260,SK-N-AS
ACH-000264,Calu-6
ACH-000267,HDLM-2
ACH-000269,AM-38
ACH-000270,HPAC
ACH-000271,SU-DHL-10
ACH-000273,SF539
ACH-000277,HCC1419
ACH-000287,NU-DUL-1
ACH-000288,BT-549
ACH-000290,NCI-H209
ACH-000291,OV-90
ACH-000292,NCI-H841
ACH-000294,NB-4
ACH-000295,EM-2
ACH-000298,NCI-H2029
ACH-000301,LAMA-84
ACH-000303,SNU-5
ACH-000304,WM-115
ACH-000305,EC-GI-10
ACH-000308,EFO-21
ACH-000309,SK-LU-1
ACH-000311,NCI-H2122
ACH-000315,KARPAS-422
ACH-000318,TE-10
ACH-000320,PSN1
ACH-000322,HT-144
ACH-000323,42-MG-BA
ACH-000326,JURL-MK1
ACH-000327,NCI-H1395
ACH-000329,CCF-STTG1
ACH-000330,EFM-19
ACH-000332,YAPC
ACH-000334,DB
ACH-000335,MSTO-211H
ACH-000336,OCI-AML3
ACH-000341,SK-N-FI
ACH-000343,NCI-H522
ACH-000345,KP-N-RT-BM-1
ACH-000346,JVM-3
ACH-000347,QGP-1
ACH-000348,RPMI-7951
ACH-000349,HCC1500
ACH-000350,COLO-678
ACH-000351,MKN1
ACH-000352,HCC1428
ACH-000353,TE-15
ACH-000355,NCI-H82
ACH-000356,MKN-45
ACH-000357,JeKo-1
ACH-000358,NCI-H69
ACH-000359,MG-63
ACH-000360,NCI-H508
ACH-000361,SK-HEP-1
ACH-000362,MOLM-13
ACH-000363,SK-MM-2
ACH-000364,U-2 OS
ACH-000365,SU-DHL-4
ACH-000366,SK-N-DZ
ACH-000369,MOLM-16
ACH-000371,RL
ACH-000372,P12-ICHIKAWA
ACH-000373,SKM-1
ACH-000374,HCC1143
ACH-000375,G-402
ACH-000376,SF-295
ACH-000378,NCI-H647
ACH-000379,NCI-H1781
ACH-000380,KMS-12-BM
ACH-000381,T84
ACH-000383,OE33
ACH-000384,SW 780
ACH-000386,KG-1
ACH-000389,H4
ACH-000392,Calu-3
ACH-000394,NCI-H2081
ACH-000396,J82
ACH-000399,NCI-H2196
ACH-000400,SK-CO-1
ACH-000401,COLO-800
ACH-000403,NCI-H747
ACH-000408,TE-5
ACH-000410,Saos-2
ACH-000411,769-P
ACH-000414,NCI-H1944
ACH-000416,NCI-H838
ACH-000417,Panc 08.13
ACH-000420,SNU-449
ACH-000421,SW837
ACH-000422,SNU-475
ACH-000423,SK-MEL-3
ACH-000425,UACC-62
ACH-000427,NCI-N87
ACH-000429,A-704
ACH-000430,TYK-nu
ACH-000432,BV-173
ACH-000433,Caki-1
ACH-000434,NCI-H1915
ACH-000437,SW 1088
ACH-000438,LU65
ACH-000439,ME-1
ACH-000440,CA46
ACH-000441,SH-4
ACH-000443,OVKATE
ACH-000447,NCI-H2228
ACH-000449,MES-SA
ACH-000450,MEL-HO
ACH-000451,NCI-H2085
ACH-000452,TE-8
ACH-000456,B-CPAP
ACH-000457,CAL-54
ACH-000463,NCI-H460
ACH-000464,CAS-1
ACH-000465,SK-MEL-1
ACH-000467,HCC-56
ACH-000469,YH-13
ACH-000470,SW1463
ACH-000472,HSC-2
ACH-000473,RT-112
ACH-000475,huH-1
ACH-000476,JHH-4
ACH-000478,SNU-387
ACH-000480,HuH-7
ACH-000481,NCI-H2170
ACH-000482,RERF-LC-KJ
ACH-000483,SNU-182
ACH-000484,VMRC-RCW
ACH-000486,KU-19-19
ACH-000488,TE-11
ACH-000489,SW1116
ACH-000491,NCI-H716
ACH-000493,SNU-423
ACH-000496,NCI-H1792
ACH-000501,LS123
ACH-000504,SNB75
ACH-000505,RKN
ACH-000506,NCI-H146
ACH-000508,COR-L88
ACH-000514,NCI-H1092
ACH-000515,HCC-33
ACH-000518,CAL-33
ACH-000521,NCI-H2030
ACH-000522,UM-UC-3
ACH-000525,NCI-H2171
ACH-000527,OVISE
ACH-000528,ABC-1
ACH-000530,DMS 114
ACH-000532,SNU-61
ACH-000534,WSU-DLCL2
ACH-000535,BxPC-3
ACH-000536,BT-20
ACH-000544,OE21
ACH-000545,VM-CUB1
ACH-000546,HSC-4
ACH-000547,HT-1197
ACH-000548,BHY
ACH-000551,K-562
ACH-000554,UACC-893
ACH-000555,A-498
ACH-000558,A172
ACH-000559,NCI-H1836
ACH-000560,ECC10
ACH-000561,NA
ACH-000562,HCC-78
ACH-000563,EBC-1
ACH-000565,RCM-1
ACH-000566,SW-1710
ACH-000567,ST486
ACH-000568,UACC-812
ACH-000570,YKG1
ACH-000572,G-361
ACH-000573,MDA-MB-436
ACH-000574,FU-OV-1
ACH-000579,UACC-257
ACH-000580,C32
ACH-000585,EPLC-272H
ACH-000586,NCI-H1876
ACH-000587,NCI-H1975
